CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
1500,100,0.02,0.017668,0.014108
1500,100,0.02,0.017516,0.014091
1500,100,0.02,0.017363,0.014074
1500,100,0.02,0.01721,0.014058
1500,100,0.02,0.017057,0.014042
1500,100,0.02,0.016912,0.014025
1500,100,0.02,0.016784,0.014008
1500,100,0.02,0.016655,0.013992
1500,100,0.02,0.016527,0.013976
1500,100,0.02,0.016398,0.013959
1500,100,0.02,0.01627,0.013942
1500,100,0.02,0.016141,0.013926
1500,100,0.02,0.016013,0.01391
1500,100,0.02,0.015885,0.013893
1500,100,0.02,0.015756,0.013876
1500,100,0.02,0.015628,0.01386
1500,100,0.02,0.015499,0.013844
1500,100,0.02,0.015371,0.013827
1500,100,0.02,0.015242,0.01381
1500,100,0.02,0.015114,0.013794
1500,100,0.02,0.014985,0.013778
1500,100,0.02,0.01486,0.013761
1500,100,0.02,0.014752,0.013744
1500,100,0.02,0.014645,0.013728
1500,100,0.02,0.014538,0.013711
1500,100,0.02,0.014431,0.013695
1500,100,0.02,0.014324,0.013679
1500,100,0.02,0.014216,0.013662
1500,100,0.02,0.014109,0.013645
1500,100,0.02,0.014002,0.013629
1500,100,0.02,0.013895,0.013613
1500,100,0.02,0.013787,0.013596
1500,100,0.02,0.01368,0.013579
1500,100,0.02,0.013573,0.013563
1500,100,0.02,0.013466,0.013547
1500,100,0.02,0.013359,0.01353
1500,100,0.02,0.013251,0.013513
1500,100,0.02,0.013144,0.013497
1500,100,0.02,0.013037,0.013481
1500,100,0.02,0.012945,0.013464
1500,100,0.02,0.012855,0.013447
1500,100,0.02,0.012766,0.013431
1500,100,0.02,0.012677,0.013415
1500,100,0.02,0.012587,0.013398
1500,100,0.02,0.012498,0.013381
1500,100,0.02,0.012409,0.013365
1500,100,0.02,0.01232,0.013349
1500,100,0.02,0.01223,0.013332
1500,100,0.02,0.012141,0.013315
1500,100,0.02,0.012052,0.013299
1500,100,0.02,0.011962,0.013283
1500,100,0.02,0.011873,0.013266
1500,100,0.02,0.011784,0.013249
1500,100,0.02,0.011695,0.013233
1500,100,0.02,0.011605,0.013217
1500,100,0.02,0.011516,0.0132
1500,100,0.02,0.011427,0.013183
1500,100,0.02,0.011343,0.013167
1500,100,0.02,0.011268,0.013151
1500,100,0.02,0.011194,0.013134
