CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
3500,100,0.08,0.028155,0.002376
3500,100,0.08,0.027919,0.002392
3500,100,0.08,0.027683,0.002409
3500,100,0.08,0.027447,0.002426
3500,100,0.08,0.027211,0.002442
3500,100,0.08,0.026975,0.002458
3500,100,0.08,0.026754,0.002475
3500,100,0.08,0.026564,0.002492
3500,100,0.08,0.026375,0.002508
3500,100,0.08,0.026185,0.002524
3500,100,0.08,0.025995,0.002541
3500,100,0.08,0.025805,0.002558
3500,100,0.08,0.025615,0.002574
3500,100,0.08,0.025426,0.00259
3500,100,0.08,0.025236,0.002607
3500,100,0.08,0.025046,0.002624
3500,100,0.08,0.024856,0.00264
3500,100,0.08,0.024667,0.002656
3500,100,0.08,0.024477,0.002673
3500,100,0.08,0.024287,0.00269
3500,100,0.08,0.024097,0.002706
3500,100,0.08,0.023907,0.002722
3500,100,0.08,0.023721,0.002739
3500,100,0.08,0.023562,0.002756
3500,100,0.08,0.023403,0.002772
3500,100,0.08,0.023243,0.002789
3500,100,0.07,0.023084,0.002805
3500,100,0.07,0.022924,0.002821
3500,100,0.07,0.022765,0.002838
3500,100,0.07,0.022606,0.002855
3500,100,0.07,0.022446,0.002871
3500,100,0.07,0.022287,0.002887
3500,100,0.07,0.022128,0.002904
3500,100,0.07,0.021968,0.002921
3500,100,0.07,0.021809,0.002937
3500,100,0.07,0.021649,0.002953
3500,100,0.07,0.02149,0.00297
3500,100,0.07,0.021331,0.002987
3500,100,0.07,0.021171,0.003003
3500,100,0.07,0.021012,0.003019
3500,100,0.07,0.02087,0.003036
3500,100,0.07,0.020732,0.003053
3500,100,0.07,0.020594,0.003069
3500,100,0.07,0.020456,0.003085
3500,100,0.07,0.020319,0.003102
3500,100,0.07,0.020181,0.003119
3500,100,0.07,0.020043,0.003135
3500,100,0.07,0.019905,0.003151
3500,100,0.07,0.019767,0.003168
3500,100,0.07,0.019629,0.003185
3500,100,0.07,0.019491,0.003201
3500,100,0.07,0.019353,0.003217
3500,100,0.07,0.019215,0.003234
3500,100,0.07,0.019077,0.003251
3500,100,0.07,0.018939,0.003267
3500,100,0.07,0.018801,0.003283
3500,100,0.07,0.018664,0.0033
3500,100,0.07,0.018526,0.003317
3500,100,0.07,0.018394,0.003333
3500,100,0.07,0.018274,0.003349
3500,100,0.07,0.018155,0.003366
3500,100,0.07,0.018035,0.003383
3500,100,0.07,0.017915,0.003399
3500,100,0.07,0.017796,0.003415
3500,100,0.07,0.017676,0.003432
3500,100,0.07,0.017556,0.003449
3500,100,0.07,0.017436,0.003465
3500,100,0.07,0.017317,0.003481
3500,100,0.07,0.017197,0.003498
3500,100,0.07,0.017077,0.003515
3500,100,0.07,0.016957,0.003531
3500,100,0.07,0.016838,0.003547
3500,100,0.07,0.016718,0.003564
3500,100,0.07,0.016598,0.003581
3500,100,0.07,0.016478,0.003597
3500,100,0.07,0.016359,0.003614
3500,100,0.07,0.016239,0.00363
3500,100,0.07,0.016119,0.003646
3500,100,0.07,0.016011,0.003663
3500,100,0.07,0.01591,0.00368
3500,100,0.07,0.015809,0.003696
3500,100,0.07,0.015707,0.003712
3500,100,0.07,0.015606,0.003729
3500,100,0.07,0.015505,0.003746
3500,100,0.07,0.015404,0.003762
3500,100,0.07,0.015303,0.003778
3500,100,0.07,0.015201,0.003795
3500,100,0.07,0.0151,0.003812
3500,100,0.07,0.014999,0.003828
3500,100,0.07,0.014898,0.003844
3500,100,0.07,0.014796,0.003861
3500,100,0.07,0.014695,0.003878
