CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
2500,100,0.41,0.32119,0
2500,100,0.38,0.3105,1.6E-05
2500,100,0.35,0.29981,3.3E-05
2500,100,0.32,0.28912,4.9E-05
2500,100,0.29,0.27843,6.6E-05
2500,100,0.26,0.26774,8.3E-05
2500,100,0.23,0.25706,9.9E-05
2500,100,0.21,0.24338,0.000116
2500,100,0.2,0.22951,0.000132
2500,100,0.19,0.21563,0.000148
2500,100,0.18,0.20176,0.000165
2500,100,0.17,0.18789,0.000181
2500,100,0.16,0.17402,0.000198
2500,100,0.15,0.16413,0.000215
2500,100,0.15,0.15876,0.000231
2500,100,0.14,0.15339,0.000248
2500,100,0.14,0.14803,0.000264
2500,100,0.14,0.14266,0.00028
2500,100,0.13,0.13729,0.000297
2500,100,0.13,0.13193,0.000314
2500,100,0.12,0.12803,0.00033
2500,100,0.12,0.12531,0.000347
2500,100,0.12,0.12258,0.000363
2500,100,0.12,0.11985,0.000379
2500,100,0.12,0.11712,0.000396
2500,100,0.11,0.1144,0.000412
2500,100,0.11,0.11167,0.000429
2500,100,0.11,0.10911,0.000446
2500,100,0.11,0.1073,0.000462
2500,100,0.11,0.10549,0.000479
2500,100,0.11,0.10368,0.000495
2500,100,0.1,0.10188,0.000511
2500,100,0.1,0.10007,0.000528
2500,100,0.1,0.098261,0.000544
2500,100,0.1,0.096453,0.000561
2500,100,0.1,0.094781,0.000578
2500,100,0.1,0.09342,0.000594
2500,100,0.1,0.092058,0.000611
2500,100,0.1,0.090697,0.000627
2500,100,0.09,0.089335,0.000643
2500,100,0.09,0.087974,0.00066
2500,100,0.09,0.086612,0.000676
2500,100,0.09,0.085251,0.000693
2500,100,0.09,0.083889,0.00071
2500,100,0.09,0.082766,0.000726
2500,100,0.09,0.081671,0.000743
2500,100,0.09,0.080576,0.000759
2500,100,0.09,0.079481,0.000775
2500,100,0.09,0.078386,0.000792
2500,100,0.09,0.077291,0.000808
2500,100,0.08,0.076196,0.000825
2500,100,0.08,0.075101,0.000842
2500,100,0.08,0.074006,0.000858
2500,100,0.08,0.073077,0.000875
2500,100,0.08,0.072164,0.000891
2500,100,0.08,0.071251,0.000908
2500,100,0.08,0.070338,0.000924
2500,100,0.08,0.069426,0.00094
2500,100,0.08,0.068513,0.000957
2500,100,0.08,0.0676,0.000974
2500,100,0.08,0.066687,0.00099
2500,100,0.08,0.065774,0.001006
2500,100,0.08,0.064904,0.001023
