CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location,Distance
5500,100,0.16,0.011575,0.012705,0.003795
5500,150,0.16,0.0095125,0.012705,0.003795
5500,200,0.16,0.0084426,0.012705,0.003795
5500,250,0.16,0.0081577,0.012705,0.003795
6500,50,0.22,0.014806,0.012705,0.003795
6500,100,0.22,0.013884,0.012705,0.003795
6500,150,0.22,0.013074,0.012705,0.003795
6500,200,0.22,0.012144,0.012705,0.003795
1500,100,0.01,0.0065354,0.011797,0.004703
500,50,0,0.0026469,0.011797,0.004703
500,100,0,0.0025393,0.011797,0.004703
500,150,0,0.0019172,0.011797,0.004703
500,200,0,0.000062591,0.011797,0.004703
500,250,0,0.000018554,0.011797,0.004703
1500,50,0.01,0.0067774,0.011797,0.004703
1500,150,0.01,0.0044605,0.011797,0.004703
1500,200,0.01,0.0000505,0.011797,0.004703
1500,250,0.01,5.2556E-06,0.011797,0.004703
2500,50,0.04,0.0098068,0.011797,0.004703
2500,100,0.04,0.0094052,0.011797,0.004703
2500,150,0.03,0.0048241,0.011797,0.004703
2500,200,0.03,0.00021069,0.011797,0.004703
2500,250,0.04,0.000072642,0.011797,0.004703
3500,50,0.07,0.011129,0.011797,0.004703
3500,100,0.07,0.010517,0.011797,0.004703
3500,150,0.06,0.0042925,0.011797,0.004703
3500,200,0.07,0.0013094,0.011797,0.004703
3500,250,0.07,0.0010382,0.011797,0.004703
4500,50,0.11,0.0099884,0.011797,0.004703
4500,100,0.11,0.0090833,0.011797,0.004703
4500,150,0.1,0.0048386,0.011797,0.004703
4500,200,0.11,0.0029213,0.011797,0.004703
4500,250,0.11,0.0027188,0.011797,0.004703
5500,50,0.15,0.0086744,0.011797,0.004703
5500,100,0.15,0.008106,0.011797,0.004703
5500,150,0.15,0.006146,0.011797,0.004703
5500,200,0.15,0.0048821,0.011797,0.004703
5500,250,0.16,0.0046845,0.011797,0.004703
6500,50,0.21,0.0095105,0.011797,0.004703
6500,100,0.21,0.0090427,0.011797,0.004703
6500,150,0.21,0.0080759,0.011797,0.004703
6500,200,0.21,0.0070544,0.011797,0.004703
1500,100,0.01,0.0046067,0.01089,0.00561
500,50,0,0.0018671,0.01089,0.00561
500,100,0,0.0017802,0.01089,0.00561
500,150,0,0.0013037,0.01089,0.00561
500,200,0,0.000043955,0.01089,0.00561
500,250,0,0.000014272,0.01089,0.00561
1500,50,0.01,0.0047989,0.01089,0.00561
1500,150,0.01,0.0030806,0.01089,0.00561
1500,200,0.01,3.92E-05,0.01089,0.00561
1500,250,0.01,4.26E-06,0.01089,0.00561
2500,50,0.03,0.0068985,0.01089,0.00561
2500,100,0.03,0.0065837,0.01089,0.00561
2500,150,0.03,0.0034624,0.01089,0.00561
2500,200,0.03,0.00011422,0.01089,0.00561
2500,250,0.03,0.000024749,0.01089,0.00561
3500,50,0.07,0.0078383,0.01089,0.00561
3500,100,0.07,0.0073954,0.01089,0.00561
3500,150,0.06,0.0031728,0.01089,0.00561
3500,200,0.06,0.00069402,0.01089,0.00561
3500,250,0.07,0.00048401,0.01089,0.00561
4500,50,0.11,0.0072848,0.01089,0.00561
4500,100,0.11,0.0066702,0.01089,0.00561
4500,150,0.1,0.0034423,0.01089,0.00561
4500,200,0.11,0.0016688,0.01089,0.00561
4500,250,0.11,0.0014698,0.01089,0.00561
5500,50,0.16,0.0063073,0.01089,0.00561
5500,100,0.15,0.0059212,0.01089,0.00561
5500,150,0.16,0.0041733,0.01089,0.00561
5500,200,0.16,0.0028805,0.01089,0.00561
5500,250,0.16,0.002698,0.01089,0.00561
6500,50,0.22,0.0065502,0.01089,0.00561
6500,100,0.22,0.0062675,0.01089,0.00561
6500,150,0.22,0.0052846,0.01089,0.00561
6500,200,0.22,0.0042288,0.01089,0.00561
1500,100,0.01,0.0032026,0.0099495,0.0065505
500,50,0,0.0013091,0.0099495,0.0065505
500,100,0,0.0012317,0.0099495,0.0065505
500,150,0,0.00086829,0.0099495,0.0065505
500,200,0,0.000028885,0.0099495,0.0065505
500,250,0,9.94E-06,0.0099495,0.0065505
1500,50,0.01,0.0033768,0.0099495,0.0065505
1500,150,0.01,0.0020824,0.0099495,0.0065505
1500,200,0.01,2.83E-05,0.0099495,0.0065505
1500,250,0.01,0.000003131,0.0099495,0.0065505
2500,50,0.03,0.0048308,0.0099495,0.0065505
2500,100,0.03,0.0045663,0.0099495,0.0065505
2500,150,0.03,0.0024559,0.0099495,0.0065505
2500,200,0.03,0.000064954,0.0099495,0.0065505
2500,250,0.03,8.28E-06,0.0099495,0.0065505
3500,50,0.07,0.0055785,0.0099495,0.0065505
3500,100,0.07,0.0052211,0.0099495,0.0065505
3500,150,0.07,0.0023298,0.0099495,0.0065505
3500,200,0.07,0.00034987,0.0099495,0.0065505
3500,250,0.07,0.00020317,0.0099495,0.0065505
4500,50,0.11,0.0053706,0.0099495,0.0065505
4500,100,0.11,0.0049129,0.0099495,0.0065505
4500,150,0.11,0.002472,0.0099495,0.0065505
4500,200,0.11,0.00090895,0.0099495,0.0065505
4500,250,0.11,0.00073442,0.0099495,0.0065505
5500,50,0.16,0.0047036,0.0099495,0.0065505
5500,100,0.16,0.0043993,0.0099495,0.0065505
5500,150,0.16,0.0028882,0.0099495,0.0065505
5500,200,0.16,0.0016351,0.0099495,0.0065505
5500,250,0.16,0.0014563,0.0099495,0.0065505
6500,50,0.22,0.004693,0.0099495,0.0065505
6500,100,0.22,0.0044828,0.0099495,0.0065505
6500,150,0.22,0.0035368,0.0099495,0.0065505
6500,200,0.22,0.0024564,0.0099495,0.0065505
1500,100,0.01,0.0032026,0.0099495,0.0065505
1500,100,0.01,0.0022432,0.0089925,0.0075075
500,50,0,0.0013091,0.0099495,0.0065505
500,50,0,0.00092291,0.0089925,0.0075075
500,100,0,0.0012317,0.0099495,0.0065505
500,100,0,0.00085587,0.0089925,0.0075075
500,150,0,0.00086829,0.0099495,0.0065505
500,150,0,0.00057428,0.0089925,0.0075075
500,200,0,0.000028885,0.0099495,0.0065505
500,200,0,0.000014634,0.0089925,0.0075075
500,250,0,9.94E-06,0.0099495,0.0065505
500,250,0,4.59E-06,0.0089925,0.0075075
1500,50,0.01,0.0033768,0.0099495,0.0065505
1500,50,0.01,0.0023942,0.0089925,0.0075075
1500,150,0.01,0.0020824,0.0099495,0.0065505
1500,150,0.01,0.0014068,0.0089925,0.0075075
1500,200,0.01,2.83E-05,0.0099495,0.0065505
1500,200,0.01,1.57E-05,0.0089925,0.0075075
1500,250,0.01,0.000003131,0.0099495,0.0065505
1500,250,0.01,1.53E-06,0.0089925,0.0075075
2500,50,0.03,0.0048308,0.0099495,0.0065505
2500,50,0.04,0.0034336,0.0089925,0.0075075
2500,100,0.03,0.0045663,0.0099495,0.0065505
2500,100,0.04,0.0032113,0.0089925,0.0075075
2500,150,0.03,0.0024559,0.0099495,0.0065505
2500,150,0.04,0.0017359,0.0089925,0.0075075
2500,200,0.03,0.000064954,0.0099495,0.0065505
2500,200,0.04,0.000031639,0.0089925,0.0075075
2500,250,0.03,8.28E-06,0.0099495,0.0065505
2500,250,0.04,0.000002341,0.0089925,0.0075075
3500,50,0.07,0.0055785,0.0099495,0.0065505
3500,50,0.07,0.0040075,0.0089925,0.0075075
3500,100,0.07,0.0052211,0.0099495,0.0065505
3500,100,0.07,0.0037198,0.0089925,0.0075075
3500,150,0.07,0.0023298,0.0099495,0.0065505
3500,150,0.07,0.0017058,0.0089925,0.0075075
3500,200,0.07,0.00034987,0.0099495,0.0065505
3500,200,0.07,0.00014165,0.0089925,0.0075075
3500,250,0.07,0.00020317,0.0099495,0.0065505
3500,250,0.07,5.96E-05,0.0089925,0.0075075
4500,50,0.11,0.0053706,0.0099495,0.0065505
4500,50,0.11,0.0039698,0.0089925,0.0075075
4500,100,0.11,0.0049129,0.0099495,0.0065505
4500,100,0.11,0.0036276,0.0089925,0.0075075
4500,150,0.11,0.002472,0.0099495,0.0065505
4500,150,0.11,0.0017896,0.0089925,0.0075075
4500,200,0.11,0.00090895,0.0099495,0.0065505
4500,200,0.11,0.00039206,0.0089925,0.0075075
4500,250,0.11,0.00073442,0.0099495,0.0065505
4500,250,0.11,0.00025605,0.0089925,0.0075075
5500,50,0.16,0.0047036,0.0099495,0.0065505
5500,50,0.17,0.0035491,0.0089925,0.0075075
5500,100,0.16,0.0043993,0.0099495,0.0065505
5500,100,0.17,0.0033067,0.0089925,0.0075075
5500,150,0.16,0.0028882,0.0099495,0.0065505
5500,150,0.17,0.0020293,0.0089925,0.0075075
5500,200,0.16,0.0016351,0.0099495,0.0065505
5500,200,0.17,0.00073964,0.0089925,0.0075075
5500,250,0.16,0.0014563,0.0099495,0.0065505
5500,250,0.17,0.00055136,0.0089925,0.0075075
6500,50,0.22,0.004693,0.0099495,0.0065505
6500,50,0.24,0.0034535,0.0089925,0.0075075
6500,100,0.22,0.0044828,0.0099495,0.0065505
6500,100,0.24,0.0032875,0.0089925,0.0075075
6500,150,0.22,0.0035368,0.0099495,0.0065505
6500,150,0.24,0.0024094,0.0089925,0.0075075
6500,200,0.22,0.0024564,0.0099495,0.0065505
6500,200,0.24,0.0011453,0.0089925,0.0075075
